OBJECTID,Location,Status,Name,Capacity,ID,addr_sname,addr_pname,addr_vname,winch_rating,winch_prob,village_id,candidate_minigrids,existing_minigrids,facilities,grid_extension,existing_grid,mean_ndvi,mean_wind_speed,mean_pvout_solar_radiation,building_count,permanent_building_count,educational_facilities,health_facilities,social_facilities,services,primary_roads,secondary_roads,tertiary_roads,unclassified_roads,percentage_crop_land,percentage_built_area,contains_protected_area,protected_area_name,electrification_strategy
16,Agoro_Incl Tumanum B,Existing,Agoro,0.08,5503128,Agoro,Pobar,Central,Best,0.85,5503128,0,1,2,0,0,0.0,0.0,0.0,601,171,1,1,0,0,0,0,1,0,15.15,58.55,False,,Existing minigrid
17,Apwoyo TC,Existing,Apwoyo TC,0.04,5503114,Agoro,Rudi,Pakinyi,Some-how,0.6,5503114,0,1,1,0,0,0.0,0.0,1595.7769775390625,198,7,1,0,0,0,0,0,0,0,17.375,8.2975,False,,Existing minigrid
18,Apyeta West/Apyeta Primary School,Existing,Apyeta West,0.04,5502851,Palabek Ogili,Apyetta,Apyetta West,Poor,0.17,5502851,0,1,1,0,0,0.0,0.0,1673.57568359375,183,31,1,0,0,0,0,2,0,3,8.89,1.2875,True,Achwa River Forest Reserve,Existing minigrid
20,Aweno Olwi,Existing,Aweno Olwi,0.02,5503198,Lokung,Dibolyec,Aweno Olwi,Poor,0.14,5503198,0,1,1,0,0,0.0,0.0,1578.9094460227273,131,20,1,0,0,0,0,1,4,3,17.726666666666667,1.14,False,,Existing minigrid
21,Ayuu Alali,Existing,Ayuu Alali,0.04,5502991,Palabek Kal,Ayuu Alali,Amot Larom,Some-how,0.45,5502991,0,1,1,0,0,0.3807643055915832,1.4767089960537167,1644.825055803571,290,52,1,0,0,0,0,0,1,1,13.405,2.54,False,,Existing minigrid
22,Kapeta,Existing,Kapeta,0.04,5502980,Palabek Kal,Lamwo,Bajere Biya-a,Some-how,0.52,5502980,0,1,1,0,0,0.0,0.0,1650.3618706597222,178,39,0,1,0,0,0,0,0,6,13.246666666666664,1.1725,False,,Existing minigrid
24,Lapidiyenyi,Existing,Lapidiyenyi,0.04,5502935,Paluga,Paluga,Dogudi,Medium,0.68,5502935,0,1,0,0,0,0.0,0.0,1647.6427734375,254,62,0,0,0,0,0,0,0,1,20.993333333333336,6.1275,False,,Existing minigrid
25,Lelapwot West,Existing,Lelapwot West,0.02,5503068,Lokung,Lelapwot,Lela Pwot West,Some-how,0.58,5503068,0,1,0,0,0,0.0,0.0,1617.96630859375,174,14,0,0,0,0,0,0,0,2,20.6125,2.8975,False,,Existing minigrid
26,Logwak,Existing,Logwak,0.04,5503061,Lokung,Dibolyec,Logwak Central,Some-how,0.56,5503061,0,1,1,0,0,0.0,0.0,1604.76259765625,232,24,0,1,0,0,0,0,0,1,2.5966666666666667,1.5675,True,Lalak Forest Reserve,Existing minigrid
27,Loromibeng A-B,Existing,Loromibeng A-B,0.04,5500905,Agoro,Pobar,Lamuribenge-b,Poor,0.25,5500905,0,1,1,0,0,0.0,0.0,1633.717529296875,137,13,1,0,0,0,0,0,0,1,19.2825,3.12,False,,Existing minigrid
